driver,season,circuits_sampled,driver_avg_corner_speed,driver_min_corner_speed,driver_corner_throttle,driver_corner_brake,driver_corner_rpm,driver_avg_straight_speed,driver_top_speed,driver_straight_throttle,driver_drs_usage
alo,2018,21,173.33388598497166,34.285714285714285,53.21578991078665,22.80955493602089,9501.491266776375,169.17291635051,356.0,54.839584719175846,100.0
bot,2018,21,177.98063769858257,37.95238095238095,50.44528495233951,17.890460548281403,9564.471603799358,170.26396416376616,349.0,52.31331191017477,100.0
eri,2018,21,170.77360798880937,28.238095238095237,54.55083448328061,19.1642375239159,9369.905408953788,167.7352956129164,355.0,55.80732046695489,100.0
gas,2018,21,171.13617909481482,35.38095238095238,53.41109537206239,18.535480409159646,9544.65034877808,166.1792171625522,348.0,55.094880051585235,100.0
gro,2018,20,174.85408171055448,36.05,45.23689266785162,21.93258734408585,9487.149399166547,168.35228787940397,350.0,47.70471607031375,100.0
ham,2018,21,174.17135762730499,38.04761904761905,51.909840229101626,19.689797550261382,9224.28021962676,167.03869492145262,350.0,53.88898346991135,100.0
har,2018,19,173.32147793671575,36.89473684210526,51.58344238768247,16.484839982089444,9455.179590622261,168.82906277772418,347.0,53.37161443734469,100.0
hul,2018,21,174.28751771269668,42.285714285714285,50.80257910722257,18.952562893718937,9183.10302897323,168.8394657584017,344.0,50.77283042788514,100.0
lec,2018,21,172.48645486832308,29.904761904761905,55.54220297175533,20.2532076881989,9432.460548654966,169.7691011502354,353.0,57.52024928617692,100.0
mag,2018,21,175.9018167063863,28.0,48.853126761433856,18.508283011246572,9540.055807660385,171.0609435540137,352.0,50.87557387862935,100.0
oco,2018,21,174.6691887047297,30.761904761904763,51.123264813344726,23.720715949675085,9624.03325523473,169.54312724343745,352.0,53.07888810832834,100.0
per,2018,21,171.73731234565898,33.476190476190474,50.91405385474694,22.066049673545095,9544.685010870497,167.0542052716726,352.0,52.85650161726113,100.0
rai,2018,21,180.47134293315838,39.142857142857146,55.22534584281568,18.145012204291852,9604.696577748478,173.68997660322083,359.0,56.27956975823031,100.0
ric,2018,21,172.72104698687903,40.80952380952381,51.71738866302115,16.210060251541776,9706.203449405984,169.09463288367962,345.0,53.31696703431436,100.0
sai,2018,21,174.54610131006322,29.857142857142858,51.39935942685327,21.36768393856863,9404.082671580696,168.3063556695298,345.0,50.831303553342565,99.93068703634526
sir,2018,20,173.66064470350565,42.1,53.87271408722986,22.788870113030292,9563.862976544975,168.02763308973368,349.0,54.6932967099012,100.0
str,2018,20,174.53028527733858,35.5,53.135721908183015,21.080305002220733,9766.653195478362,169.52199734360227,352.0,55.62464064536217,100.0
van,2018,21,174.12353694490469,35.142857142857146,51.69670694568983,21.040049634311046,9426.896718683474,169.86111952963088,337.0,53.38802659627821,100.0
ver,2018,20,177.13626706418015,40.3,50.439107380951555,20.559371189527802,9579.224823276538,171.62110194812755,348.0,52.46400734439544,100.0
vet,2018,21,176.24250131086916,38.714285714285715,49.24800450701795,18.889608724075686,9377.00608226911,170.30088006899848,356.0,50.73223460021474,100.0
alb,2019,20,174.30571075748065,34.85,52.511851525387634,18.858472721049402,9859.02105855873,169.0051997954976,348.0,54.04671531471153,100.0
bot,2019,21,176.73696873648964,35.23809523809524,51.911601495928565,17.648749576192515,9531.503069175338,169.0869502396878,350.0,53.91059614029425,100.0
gas,2019,21,173.8224461722075,36.095238095238095,52.80567329565861,17.12817089580849,9777.933162838592,168.30386099289095,349.0,54.17338430042945,100.0
gio,2019,21,173.62307388301355,37.95238095238095,53.42392192648718,18.978536748821686,9597.486670214732,169.08545623349823,352.0,55.06493796567939,100.0
gro,2019,21,175.4014094937973,38.904761904761905,48.32559372754243,19.629027841320113,9544.767206414657,169.68511300485952,354.0,50.39887988468383,100.0
ham,2019,21,174.78576466185982,33.61904761904762,52.545179184579226,18.14863008852213,9298.9474897361,167.59076058224014,352.0,55.17001460738838,100.0
hul,2019,21,173.4290039776554,38.523809523809526,52.59892792386141,16.86575000783796,9348.33979059317,167.0281729325302,350.0,51.99666217985445,100.0
kub,2019,20,173.1581704488978,36.8,54.64037810039707,21.677214930707805,9438.989952766937,170.06055729866713,354.0,56.14813753035704,100.0
kvy,2019,20,174.07010602942015,32.35,53.23102278886156,17.314477706908928,9874.468211323296,169.82668990654938,350.0,55.4258982149556,100.0
lec,2019,21,178.30586515618356,36.857142857142854,57.10346786789922,19.52155898570897,9484.272207056249,170.7393443676343,359.0,59.18150521592373,100.0
mag,2019,21,175.64130707487124,37.42857142857143,50.29988246744915,17.72083599324074,9761.207018329205,169.13906844944182,356.0,52.35125726842565,100.0
nor,2019,21,172.96251757162898,32.476190476190474,49.674120442873964,16.438805926120697,9628.611285300698,167.3340632558464,347.0,51.55607991822946,100.0
per,2019,21,171.91816868661718,36.285714285714285,50.769540411064796,20.365598561756467,9626.137360444742,167.33404204453254,355.0,51.97316285824117,100.0
rai,2019,21,175.07466557809917,35.61904761904762,52.5167189180757,18.195679239439976,9447.528059094973,170.3934713974589,354.0,54.36655127538779,100.0
ric,2019,21,170.84245028960814,38.523809523809526,53.353048702990655,12.501123026852508,9832.51788660885,165.64176640735067,353.0,53.52106605325881,100.0
rus,2019,21,172.16422343217255,29.38095238095238,52.55149862120009,19.211189323929943,9545.98354466711,170.573678694256,353.0,54.43973357111463,100.0
sai,2019,21,174.6634688140974,25.047619047619047,52.045042306278134,17.87220199988619,9512.670064793925,169.21678903426684,354.0,53.68714313524986,100.0
str,2019,21,174.75613496237318,36.523809523809526,50.006447821867106,19.498085145339658,9805.106076337008,170.26955994579944,355.0,51.595035710729626,100.0
ver,2019,21,174.2635432247756,41.19047619047619,50.22641950238104,19.99349758226445,9815.961153900525,168.14454182885277,350.0,51.20873322932864,100.0
vet,2019,21,176.89972196389857,42.04761904761905,51.41129378129184,19.16823166686814,9428.640761025646,169.62884975699893,360.0,53.393658722508256,100.0
alb,2020,14,176.26328504035368,29.357142857142858,45.23633834869515,21.857003603809922,9825.352871926962,169.8508915027981,363.0,46.18751545393343,100.0
bot,2020,14,179.72493041413,35.785714285714285,51.94715836968146,18.6660384795338,9634.591430694712,170.08270092646944,339.0,52.91377145420366,100.0
fit,2020,1,190.24436997879081,53.0,53.495295517420494,19.644552889265302,10140.936298648208,184.40256988743766,325.0,52.750601131266585,100.0
gas,2020,14,178.5527782959915,33.142857142857146,53.46833452336369,19.320783812020327,10124.137437638565,170.65120052103433,346.0,54.53267928182311,100.0
gio,2020,14,181.50025038131827,50.785714285714285,56.16964938421625,20.44703635702756,9859.609330540874,175.29902439816848,364.0,56.16723235850577,100.0
gro,2020,13,178.7391439844065,27.46153846153846,51.661560518462224,19.493690233313416,9545.958204909191,174.97876363987382,344.0,50.5232766431581,100.0
ham,2020,14,179.15640441244565,32.285714285714285,52.82310325421184,21.18824216565981,9232.643193424023,171.75084226501752,343.0,53.39597483693852,100.0
hul,2020,2,171.37479188557518,30.0,51.383601194393236,13.527858791662585,9338.942456185106,171.62036922121865,322.0,56.261136911812784,100.0
kvy,2020,14,178.60182043879186,31.428571428571427,53.62049821287028,17.325683048636286,9915.664177438228,170.82497957088464,345.0,54.10497949937662,100.0
lat,2020,14,173.41435999969835,41.642857142857146,54.240172189503845,21.134833491495048,9401.459092164685,167.89058143053745,341.0,54.062848567455156,100.0
lec,2020,14,175.9967382489515,36.0,52.94134013466556,20.0910189717309,9462.279302312721,168.40869667922473,343.0,53.959072875688,100.0
mag,2020,14,181.32796115206443,28.928571428571427,54.29113388002702,18.189764296788073,9805.689439904048,177.48120548817116,342.0,53.82217601677535,100.0
nor,2020,14,179.46661946477613,33.785714285714285,50.30841136406942,15.406883217591021,9664.14362338199,172.07277381542013,345.0,50.80449250628946,100.0
oco,2020,14,181.13620049964317,31.214285714285715,56.368494247553635,18.385253893509475,9561.681432673353,173.01236934384445,353.0,54.31126013451222,100.0
per,2020,13,176.34952190028272,41.46153846153846,47.96862603812497,21.23191388029971,9453.206014737698,169.48950188537341,350.0,50.26482284170323,100.0
rai,2020,14,179.86560588683315,40.357142857142854,55.400830480921236,19.56687453987796,9589.329646272685,175.58542939118507,364.0,55.5643614340887,100.0
ric,2020,14,180.84768174915877,46.5,51.493917746529064,12.051172233267621,9944.67164020803,172.2760390749842,346.0,50.78799449849606,100.0
rus,2020,14,178.584989563742,38.714285714285715,53.48815456015198,18.619503136170486,9532.31384035367,173.06987484861028,351.0,53.61007310502294,100.0
sai,2020,14,179.59752134151265,32.57142857142857,50.44566771866016,17.710443381042456,9610.400734457011,170.99516486997717,343.0,51.62341172023812,100.0
str,2020,13,179.77429388558025,33.15384615384615,47.901691188029716,20.620828397027545,9814.385779990062,171.73092393115706,346.0,49.21914006413104,100.0
ver,2020,14,181.91246060164377,38.714285714285715,52.135469351767355,19.656963189303365,9981.969313195625,175.1360794910734,341.0,52.350566882908694,100.0
vet,2020,14,178.0821865721993,38.0,51.71558566138764,19.33681625845955,9327.74960721347,170.34567129543254,359.0,52.7924962912217,100.0
alo,2021,21,170.9250352949715,29.904761904761905,50.91394437536804,18.97730690894022,9594.006300637984,163.89265822424835,347.0,50.91608225671623,100.0
bot,2021,21,174.8242110001253,28.666666666666668,52.47461939720669,19.336821439468814,9556.554078375115,167.32543239565015,349.0,54.31458945396749,100.0
gas,2021,20,166.55516068098555,29.35,52.38963915328486,18.889538025116988,9664.38134400278,161.67254779883277,352.0,54.32426903183263,100.0
gio,2021,21,169.2286523639918,32.142857142857146,51.03250552743865,21.053786121988477,9503.832611213636,163.9352312001669,353.0,52.34454446893015,100.0
ham,2021,21,172.94530098322306,25.904761904761905,53.18074303611032,20.773406604686333,9230.412444883454,167.4284494247352,351.0,55.61847887578169,100.0
kub,2021,2,191.52426129424924,59.5,60.79829544915623,12.473602046794731,9945.858339545255,185.66522954042645,341.0,57.35075275183601,100.0
lat,2021,20,167.7505664620897,36.26315789473684,52.01691378853318,21.518847661560688,9449.111509821054,155.11954219200902,345.0,50.788140826761165,95.0
lec,2021,21,169.56638618637484,26.857142857142858,52.933251134906016,18.788239556334474,9446.235647397345,164.76202239711105,348.0,54.73623910039084,100.0
maz,2021,20,167.39851488762275,29.2,43.960187995985,19.215878970388953,9352.682087788247,163.78030540230077,346.0,45.254744422874495,100.0
msc,2021,19,172.7096957943355,29.842105263157894,45.99777014141467,20.41772588474838,9533.353774811194,171.28703278064177,347.0,47.997868990135174,100.0
nor,2021,21,168.19131401587242,25.61904761904762,47.277894489555514,16.101164299257544,9722.240302764752,163.0364505278606,347.0,49.540471150674975,100.0
oco,2021,21,172.3991508388211,35.714285714285715,52.89436923765327,17.275033737407128,9505.101058533128,165.48348294176373,348.0,52.20448979235711,100.0
per,2021,20,169.48979321730127,28.7,48.42906718966791,21.4975004536468,9523.879915155765,163.4915585350993,342.0,49.087640192900466,100.0
rai,2021,19,167.90440755862193,36.1578947368421,50.83840646615147,20.019340082961513,9379.199412917407,163.44362294420014,350.0,52.16145618312697,100.0
ric,2021,21,169.5610103344115,28.523809523809526,47.34555039040447,12.4478187719411,9832.086815049784,163.80890702288158,353.0,49.65481987076531,100.0
rus,2021,21,170.50908048494597,27.857142857142858,52.4655389545038,17.10178047423825,9487.172295655046,167.0610419385477,345.0,53.29535104015139,100.0
sai,2021,21,168.73749126630656,30.80952380952381,49.763256636598804,17.802708774935223,9384.007479188524,161.31803064228606,346.0,51.07010161720349,100.0
str,2021,21,171.0184180418992,32.666666666666664,47.231915818492375,22.16239109832266,9491.199823809016,164.55793438869543,344.0,49.35588351231512,100.0
