circuit_id,track_total_corners,track_total_straights,track_corner_percentage,track_avg_corner_length,track_avg_straight_length,track_longest_straight,track_total_length,track_shortest_corner,track_longest_corner
bahrain,23,24,10.70110701107011,25.217391304347824,201.66666666666666,912.0,5420.0,8.0,72.0
sakhir,23,24,10.70110701107011,25.217391304347824,201.66666666666666,912.0,5420.0,8.0,72.0
jeddah,25,26,9.874152952565343,24.48,214.84615384615384,1330.0,6198.0,8.0,152.0
melbourne,28,29,8.342813803564656,15.714285714285714,166.68965517241378,1458.0,5274.0,8.0,56.0
albert_park,28,29,8.342813803564656,15.714285714285714,166.68965517241378,1458.0,5274.0,8.0,56.0
baku,23,24,10.804442948502189,27.91304347826087,220.83333333333334,1554.0,5942.0,8.0,172.0
miami,26,27,10.118168389955686,21.076923076923077,180.2962962962963,1116.0,5416.0,8.0,122.0
monaco,13,14,9.981960312687914,25.53846153846154,213.85714285714286,648.0,3326.0,12.0,50.0
barcelona,19,20,10.415773681954565,25.57894736842105,209.0,822.0,4666.0,8.0,92.0
catalunya,19,20,10.415773681954565,25.57894736842105,209.0,822.0,4666.0,8.0,92.0
montreal,20,21,10.077874484654146,22.0,186.95238095238096,1058.0,4366.0,8.0,84.0
montréal,20,21,10.077874484654146,22.0,186.95238095238096,1058.0,4366.0,8.0,84.0
villeneuve,20,21,10.077874484654146,22.0,186.95238095238096,1058.0,4366.0,8.0,84.0
spielberg,15,16,8.643122676579926,24.8,245.75,722.0,4304.0,8.0,132.0
red_bull_ring,15,16,8.643122676579926,24.8,245.75,722.0,4304.0,8.0,132.0
silverstone,31,32,9.493024838380402,18.0,166.25,1152.0,5878.0,8.0,108.0
hungaroring,17,18,12.060301507537687,31.058823529411764,213.88888888888889,594.0,4378.0,8.0,110.0
budapest,17,18,12.060301507537687,31.058823529411764,213.88888888888889,594.0,4378.0,8.0,110.0
spa,36,37,8.767908309455587,17.0,172.1081081081081,1420.0,6980.0,8.0,72.0
spa_francorchamps,36,37,8.767908309455587,17.0,172.1081081081081,1420.0,6980.0,8.0,72.0
zandvoort,15,16,7.753759398496241,22.0,245.375,1020.0,4256.0,8.0,48.0
monza,32,33,11.264685556323428,20.375,155.63636363636363,986.0,5788.0,8.0,102.0
marina_bay,28,29,10.800970873786406,19.071428571428573,152.06896551724137,844.0,4944.0,8.0,68.0
suzuka,20,21,7.742601514108741,22.5,255.33333333333334,1174.0,5812.0,8.0,92.0
losail,16,17,10.697159719660641,36.25,284.8235294117647,1278.0,5422.0,8.0,98.0
lusail,16,17,10.697159719660641,36.25,284.8235294117647,1278.0,5422.0,8.0,98.0
austin,16,17,9.239130434782608,31.875,294.70588235294116,1154.0,5520.0,8.0,62.0
americas,16,17,9.239130434782608,31.875,294.70588235294116,1154.0,5520.0,8.0,62.0
mexico_city,24,25,12.825278810408921,23.0,150.08,1144.0,4304.0,8.0,92.0
rodriguez,24,25,12.825278810408921,23.0,150.08,1144.0,4304.0,8.0,92.0
interlagos,8,9,5.397859469520707,29.0,451.77777777777777,1064.0,4298.0,12.0,50.0
são_paulo,8,9,5.397859469520707,29.0,451.77777777777777,1064.0,4298.0,12.0,50.0
las_vegas,28,29,6.26808100289296,13.928571428571429,201.10344827586206,1252.0,6222.0,8.0,32.0
yas_marina,26,27,10.38911975821685,21.153846153846153,175.7037037037037,1132.0,5294.0,8.0,72.0
portimao,17,18,16.723989681857265,45.76470588235294,215.22222222222223,1180.0,4652.0,8.0,282.0
istanbul,24,25,11.567445365486059,25.583333333333332,187.76,1452.0,5308.0,8.0,106.0
sochi,25,26,7.781967775111416,18.16,206.92307692307693,1392.0,5834.0,8.0,108.0
nurburgring,18,19,5.062305295950155,14.444444444444445,256.63157894736844,724.0,5136.0,8.0,34.0
hockenheimring,22,23,8.036890645586297,16.636363636363637,182.08695652173913,706.0,4554.0,8.0,60.0
sepang,37,38,13.333333333333334,20.0,126.57894736842105,880.0,5550.0,8.0,58.0
shanghai,19,20,6.204111600587372,17.789473684210527,255.5,1654.0,5448.0,8.0,60.0
imola,27,28,11.755102040816325,21.333333333333332,154.42857142857142,688.0,4900.0,8.0,64.0
mugello,22,23,10.526315789473683,25.09090909090909,204.0,798.0,5244.0,8.0,156.0
ricard,23,24,10.893470790378007,27.565217391304348,216.08333333333334,1056.0,5820.0,8.0,132.0
magny_cours,21,22,11.076233183856504,23.523809523809526,180.27272727272728,732.0,4460.0,8.0,78.0
estoril,27,28,11.089774363898224,17.11111111111111,132.28571428571428,796.0,4166.0,8.0,72.0
jacarepagua,33,34,10.237807335751713,15.393939393939394,131.0,742.0,4962.0,8.0,62.0
kyalami,15,16,6.988058381247236,21.066666666666666,262.875,1024.0,4522.0,8.0,72.0
indianapolis,21,22,8.276199804113613,16.095238095238095,170.27272727272728,654.0,4084.0,8.0,50.0
galvez,19,20,6.983240223463687,15.789473684210526,199.8,782.0,4296.0,8.0,80.0
