Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
ElasticNetCV,0.29753637591281246,0.4339211263203834,4.3155097707204595,0.7024257183074951
LassoLarsCV,0.2925401907966467,0.42989496077063116,4.33082934247134,0.23794317245483398
LassoCV,0.2925329929439462,0.42988916039576486,4.330851373823498,0.7890920639038086
LarsCV,0.29244365124635785,0.42981716457162644,4.331124823606339,0.27065324783325195
ElasticNet,0.29007306300880864,0.4279068308924786,4.3383742307283395,0.07915616035461426
OrthogonalMatchingPursuit,0.28916268650832033,0.42717320585290375,4.341155001801716,0.034178972244262695
OrthogonalMatchingPursuitCV,0.2887647907620545,0.426852562380182,4.342369826504457,0.1388709545135498
PoissonRegressor,0.2856694585498759,0.4243581952524731,4.351808676478417,0.06749629974365234
LassoLarsIC,0.28344099937094647,0.42256239598430656,4.358591444225477,0.1046898365020752
GradientBoostingRegressor,0.2769863564529772,0.4173609352001185,4.378178163844701,3.149099111557007
TweedieRegressor,0.274168522971726,0.4150901898567476,4.386701502325542,0.04298901557922363
LassoLars,0.2731382096875078,0.4142599140054888,4.3898138460298215,0.04391288757324219
Lasso,0.2731305976195244,0.4142537798360846,4.389836832156202,0.10876798629760742
LGBMRegressor,0.2712327029920104,0.41272436533508206,4.395564144612514,0.18437981605529785
HuberRegressor,0.26968875579489504,0.4114801786464125,4.400217844316181,0.5022850036621094
GammaRegressor,0.26959695935026506,0.4114062046693949,4.400494378235722,0.04650092124938965
HistGradientBoostingRegressor,0.2681079525154215,0.41020629155921107,4.404977540141817,0.35243701934814453
BayesianRidge,0.25984863691713667,0.4035505389893651,4.429762638574193,0.1040658950805664
RidgeCV,0.25742158832494977,0.4015947068489947,4.437019566319587,0.1495969295501709
Ridge,0.25733657979883795,0.4015262029022215,4.43727352852315,0.03461289405822754
ExtraTreesRegressor,0.25365124815815066,0.3985563859426501,4.4482694839531876,8.649213075637817
RandomForestRegressor,0.25225000667225994,0.3974271983592832,4.452443254504142,12.699400186538696
BaggingRegressor,0.224384195830995,0.3749715917281352,4.534647252095204,1.2233459949493408
XGBRegressor,0.21860475412127933,0.37031424045562744,4.551510907447481,0.38064002990722656
LinearSVR,0.13719417224091146,0.30470968967717893,4.782739414691661,2.796280860900879
AdaBoostRegressor,0.09195751198126689,0.26825581959659994,4.906516563120922,1.4531290531158447
DummyRegressor,-0.31420877409246706,-0.05905245070141496,5.902722484770152,0.024482011795043945
ExtraTreeRegressor,-0.3295490362824225,-0.07141436958899305,5.937072660470052,0.1711111068725586
QuantileRegressor,-0.3315759893752206,-0.07304778559008995,5.941596594641708,4.299904823303223
NuSVR,-0.37772518208161965,-0.11023701807512976,6.0436802952159185,15.588820934295654
DecisionTreeRegressor,-0.4058241624483614,-0.1328805238911357,6.105000248761926,0.31830763816833496
SVR,-0.42810313640224584,-0.1508339894516344,6.153184972685745,14.19815707206726
MLPRegressor,-0.6799387762295672,-0.35377522435341735,6.673703556495592,13.526902675628662
PassiveAggressiveRegressor,-0.7711566378814787,-0.4272829514623846,6.852494092568551,0.11221194267272949
KNeighborsRegressor,-1.8409140024209107,-1.2893447341146285,8.678591125593694,0.11785101890563965
GaussianProcessRegressor,-3.991228407642663,-3.022171196334263,11.503338681134116,31.230880975723267
KernelRidge,-4.568929904782355,-3.4877107653743185,12.150833224527604,7.914844989776611
SGDRegressor,-1153973.1805351372,-929926.731448783,5531.185582672472,0.09392786026000977
Lars,-3.721792065642954e+22,-2.999198518395316e+22,993336141489.8345,0.07642102241516113
LinearRegression,-5.868147860155615e+25,-4.728834942277449e+25,39443069823791.01,0.08214187622070312
TransformedTargetRegressor,-5.868147860155615e+25,-4.728834942277449e+25,39443069823791.01,0.0668480396270752
RANSACRegressor,-9.289222053672092e+26,-7.48570057892406e+26,156931402673481.25,0.6213250160217285
