Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
LinearSVR,-0.6648754879539511,0.4572383940369903,4.204631830498671,0.04293513298034668
PoissonRegressor,-0.6793121252744807,0.45253194450758694,4.2228222970157,0.012306928634643555
BayesianRidge,-0.6945825070816027,0.44755368816753616,4.241978408091769,0.014764070510864258
SGDRegressor,-0.6956817817623788,0.4471953165683088,4.243354069485842,0.022150754928588867
HuberRegressor,-0.6966764776484544,0.4468710384222988,4.244598473969689,0.03579998016357422
RidgeCV,-0.7051278997920316,0.44411581288831203,4.2551568605381584,0.015385150909423828
OrthogonalMatchingPursuit,-0.7257731542333246,0.4373853086931653,4.280839532522074,0.006604194641113281
Ridge,-0.7264485317214029,0.43716513068423135,4.281677099103206,0.006948947906494141
GammaRegressor,-0.7274949028033753,0.4368240060457861,4.282974428382195,0.00965118408203125
LinearRegression,-0.7300211677891333,0.4360004251529932,4.286104965982225,0.011415958404541016
TransformedTargetRegressor,-0.7300211677891333,0.4360004251529932,4.286104965982225,0.01087808609008789
GradientBoostingRegressor,-0.7402000235158959,0.43268204361569695,4.298695464997715,0.5234150886535645
TweedieRegressor,-0.7560213450679423,0.42752417688261224,4.318192407179396,0.007478952407836914
ElasticNetCV,-0.7832517488150317,0.4186468657709238,4.351544443362719,0.07605385780334473
ExtraTreesRegressor,-0.7943920909566371,0.41501503261853223,4.365115779269017,0.7908480167388916
LassoLarsIC,-0.8250521291976614,0.4050196355362936,4.402250292891583,0.014330863952636719
RANSACRegressor,-0.8276752715820197,0.40416447190183247,4.405412828017173,0.19176077842712402
RandomForestRegressor,-0.8300376912804861,0.40339430577302837,4.408259086667035,1.3832001686096191
LassoCV,-0.8315413216965426,0.4029041112417865,4.410069713710046,0.08594894409179688
LassoLarsCV,-0.832177616581423,0.40269667444781454,4.4108356972816445,0.027471065521240234
OrthogonalMatchingPursuitCV,-0.8471599020559586,0.39781233962278273,4.428833365847816,0.012218713760375977
ElasticNet,-0.8563232806119685,0.3948250110825451,4.43980503918229,0.006961822509765625
MLPRegressor,-0.8996386720203777,0.38070387615452894,4.491305482520817,0.444760799407959
LarsCV,-0.9135468809164768,0.37616969816276036,4.507717049670079,0.035447120666503906
HistGradientBoostingRegressor,-0.9532491198461552,0.3632264774127919,4.554239993500872,0.9792609214782715
LGBMRegressor,-0.965871244134265,0.3591115724250932,4.568931313242728,0.6956911087036133
BaggingRegressor,-0.9659686695558067,0.35907981102393116,4.569044526289023,0.14730119705200195
Lasso,-0.9813705189460524,0.35405869528864964,4.5869070809969354,0.00972127914428711
LassoLars,-0.9814010541551468,0.3540487405867837,4.586942425629817,0.0067598819732666016
AdaBoostRegressor,-1.1461882440515514,0.30032690944839535,4.773874524959663,0.22185492515563965
XGBRegressor,-1.1842145002290105,0.28793007135391235,4.815980717655247,0.30627918243408203
KNeighborsRegressor,-1.197953570595494,0.2834510337619086,4.831103605160587,0.007641792297363281
SVR,-1.575630962927463,0.16032543699434365,5.229725725867576,0.11680197715759277
NuSVR,-1.605728686266929,0.15051335868953597,5.260193147631653,0.08295702934265137
DummyRegressor,-2.0677401706881167,-0.00010576993129074452,5.707506053260111,0.005480051040649414
QuantileRegressor,-2.077803145044073,-0.0033863732927563728,5.716859430826056,0.10767817497253418
PassiveAggressiveRegressor,-2.297692790741043,-0.0750720087031238,5.917553479732904,0.010657072067260742
DecisionTreeRegressor,-2.4816466621213245,-0.13504231842050496,6.080362071431933,0.03000497817993164
ExtraTreeRegressor,-2.5826934655432066,-0.1679843166056607,6.16796527393256,0.013970136642456055
KernelRidge,-9.802692044460128,-2.52175674709506,10.710335912301483,0.03061699867248535
GaussianProcessRegressor,-12.105004686525852,-3.2723275351677685,11.796568242897798,0.2410438060760498
Lars,-1.0416679000643126e+46,-3.3959136668763304e+45,3.325842928788018e+23,0.011470794677734375
